,open,high,low,close,volume
2026-01-25 23:00:00,16.950000762939453,17.139999389648438,16.34000015258789,16.809999465942383,2733818
2026-02-01 23:00:00,16.75,17.43000030517578,15.819999694824219,16.549999237060547,4179352
2026-02-08 23:00:00,16.600000381469727,16.780000686645508,16.15999984741211,16.6200008392334,2838512
2026-02-15 23:00:00,16.5,17.239999771118164,16.079999923706055,16.200000762939453,5089632
2026-02-22 23:00:00,16.200000762939453,16.540000915527344,16.1299991607666,16.360000610351562,2560728
2026-03-01 23:00:00,15.819999694824219,15.869999885559082,14.680000305175781,15.069999694824219,5009712
2026-03-08 23:00:00,14.710000038146973,15.350000381469727,14.350000381469727,14.699999809265137,3120531
2026-03-15 23:00:00,14.720000267028809,15.979999542236328,14.59000015258789,15.029999732971191,8797991
2026-03-22 23:00:00,14.800000190734863,18.200000762939453,14.75,17.100000381469727,13951437
2026-03-29 22:00:00,17.110000610351562,17.3799991607666,16.670000076293945,17.329999923706055,2930943
2026-04-01 15:38:39,17.299999237060547,17.3799991607666,17.1299991607666,17.329999923706055,650
