Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
MRK.DE,Merck,stock,Revolut,Euro,WAIT,WAIT,106.90,135.51,130.09,21.7%,Attractive,,20,20,0.71%,OFF,VALID,OFF,,Lower Quartile,1,66.7%,39.1,37.7,-0.790,0.274,,46,67.4%,61.5%,6.27%,2307.20%,HARD_STOP_FROM_ENTRY,94%,Late,61.5%,12.3%,3.15%,Late Risk
MSFT,MICROSOFT,stock,Revolut,USD,WAIT,WAIT,365.97,475.11,456.11,24.6%,Attractive,,33,33,-1.37%,OFF,NO,OFF,,Lower Quartile,2,83.3%,26.7,25.6,-1.586,-0.995,Lower-low still forming (price still breaking down),46,76.1%,70.0%,5.90%,3833.11%,TREND_BREAK_MA40_TWO_NEG_SLOPE,45%,Mid,42.0%,35.7%,1.21%,Late Risk
NEXI.MI,Nexi,stock,Revolut,Euro,WAIT,WAIT,3.05,3.94,3.78,24.2%,Attractive,,21,21,-0.33%,OFF,VALID,OFF,,Lower Quartile,0,60.0%,35.4,48.7,0.008,0.016,,19,63.2%,66.7%,3.85%,120.91%,HARD_STOP_FROM_ENTRY,271%,Late,66.7%,13.3%,4.30%,Exhausted
NKT.SG,NKT Holding,stock,Revolut,Euro,WAIT,WAIT,106.70,128.27,123.14,15.4%,Moderate,,34,34,-0.65%,OFF,VALID,OFF,,Lower Quartile,2,75.0%,59.4,49.8,-0.325,0.123,,13,76.9%,66.7%,8.24%,354.23%,RSI_BAND_DROP,626%,Late,66.7%,13.3%,8.24%,Exhausted
NOV.DE,Novo Nordisk B,stock,Revolut,Euro,WAIT,WAIT,31.92,55.19,52.98,66.0%,Attractive,,3,3,0.46%,OFF,VALID,OFF,,Lower Quartile,1,69.2%,34.3,34.2,-0.214,0.100,Lower-low still forming (price still breaking down),52,67.3%,40.0%,2.32%,2822.22%,TRAILING_STOP,371%,Late,40.0%,8.0%,-2.10%,Exhausted
P911.DE,Dr Ing hc F Porsche Prf,stock,Revolut,Euro,WAIT,WAIT,37.66,49.86,47.87,27.1%,Attractive,,3,3,0.88%,OFF,NO,OFF,,Lower Quartile,0,50.0%,38.2,44.0,-0.086,0.097,Lower-low still forming (price still breaking down),8,25.0%,25.0%,-1.49%,-4.55%,HARD_STOP_FROM_ENTRY,829%,Late,15.0%,3.0%,-2.12%,Exhausted
PIRC.MI,Pirelli & C,stock,Revolut,Euro,WAIT,WAIT,5.84,7.89,7.57,29.7%,Attractive,,25,25,-0.65%,OFF,VALID,OFF,,Lower Quartile,2,83.3%,45.2,46.9,-0.015,0.015,,22,72.7%,72.7%,3.44%,218.75%,TRAILING_STOP,289%,Late,78.2%,15.6%,4.21%,Exhausted
QCOM,Qualcomm,stock,Revolut,USD,WAIT,WAIT,130.54,174.55,167.57,28.4%,Attractive,⭐,42,42,0.15%,OFF,VALID,OFF,,Lower Quartile,1,83.3%,33.1,37.4,-0.087,0.243,,47,80.9%,73.3%,3.68%,5564.59%,TREND_BREAK_MA40_TWO_NEG_SLOPE,62%,Mature,58.7%,38.2%,2.33%,Mid OK
RAT.L,Rathbones,stock,Moneybase,GBP,WAIT,WAIT,20.25,26.89,25.81,27.5%,Attractive,,16,16,-1.94%,OFF,NO,OFF,,Lower Quartile,0,66.7%,45.1,41.7,-10.020,-0.093,,45,71.1%,62.5%,3.50%,922.29%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,243%,Late,62.5%,12.5%,2.77%,Exhausted
SAN.PA,SAN,stock,Revolut,Euro,WAIT,WAIT,81.15,113.44,108.90,34.2%,Attractive,,26,26,1.36%,OFF,VALID,OFF,,Upper Quartile,1,100.0%,48.8,61.5,0.289,0.299,,54,75.9%,81.8%,3.32%,1119.74%,TRAILING_STOP,83%,Late,65.5%,26.2%,3.94%,Late Risk
SN.L,Smith & Nephew,stock,Moneybase,GBP,WAIT,WAIT,11.96,15.04,14.44,20.8%,Attractive,,21,21,-1.48%,OFF,NO,OFF,,Lower Quartile,1,76.9%,40.1,36.7,-6.283,-1.004,Lower-low still forming (price still breaking down),52,75.0%,91.7%,3.98%,1363.07%,RSI_BAND_DROP,200%,Late,91.7%,18.3%,10.24%,Exhausted
SSPG.L,SSP Group,stock,Moneybase,GBP,WAIT,WAIT,1.78,2.36,2.27,27.1%,Attractive,,3,3,-0.78%,OFF,VALID,OFF,,Lower Quartile,1,55.6%,49.0,44.0,-0.958,0.310,,36,69.4%,40.0%,2.20%,1008.88%,HARD_STOP_FROM_ENTRY,124%,Late,40.0%,8.0%,-0.49%,Exhausted
T2V1.F,Tryg,stock,Revolut,Euro,WAIT,WAIT,20.04,28.15,27.02,34.9%,Attractive,,16,16,-1.38%,OFF,NO,OFF,,Lower Quartile,0,66.7%,40.9,43.6,-0.036,-0.027,Lower-low still forming (price still breaking down),46,80.4%,69.2%,3.77%,862.00%,TRAILING_STOP,260%,Late,69.2%,13.8%,3.40%,Exhausted
TEP.PA,TEP,stock,Revolut,Euro,WAIT,WAIT,47.92,83.81,80.46,67.9%,Attractive,⭐,51,51,4.70%,OFF,NO,OFF,,Lower Quartile,0,63.6%,32.0,40.5,-0.190,-0.044,,41,63.4%,40.0%,6.28%,2518.39%,HARD_STOP_FROM_ENTRY,45%,Mid,52.0%,44.2%,0.17%,Mid OK
TRE.MC,Tecnicas Reunidas,stock,Revolut,Euro,WAIT,WAIT,30.42,34.93,33.53,10.2%,Moderate,,25,25,0.26%,OFF,NO,OFF,,Lower Quartile,1,64.3%,53.4,49.6,-0.152,0.114,,55,65.5%,62.5%,2.14%,3350.10%,TRAILING_STOP,176%,Late,70.0%,14.0%,3.76%,Exhausted
UPS,United Parcel Service,stock,Revolut,USD,WAIT,WAIT,97.50,118.21,113.48,16.4%,Moderate,,24,24,-0.88%,OFF,NO,OFF,,Lower Quartile,2,100.0%,39.6,33.1,-0.640,0.134,,46,89.1%,90.9%,4.36%,2243.99%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,312%,Late,90.9%,18.2%,4.41%,Exhausted
WDH.F,Demant,stock,Revolut,Euro,WAIT,WAIT,11.90,34.35,32.98,177.1%,Attractive,,11,11,0.00%,OFF,VALID,OFF,,Lower Quartile,0,100.0%,35.6,43.2,-0.024,0.002,,8,87.5%,87.5%,1.56%,63.26%,HARD_STOP_FROM_ENTRY,314%,Late,87.5%,17.5%,1.56%,Exhausted
XAD5.MI,Xtrackers Physical Gold ETC (EUR,etf,Moneybase,Euro,WAIT,WAIT,364.82,,,,No Target,,13,13,-3.33%,OFF,NO,OFF,,Lower Quartile,1,83.3%,49.0,33.7,-4.363,-1.558,,48,77.1%,100.0%,2.86%,567.98%,TRAILING_STOP,176%,Late,100.0%,20.0%,6.04%,Exhausted
ZAL.DE,Zalando SE,stock,Revolut,Euro,WAIT,WAIT,20.64,34.87,33.48,62.2%,Attractive,⭐⭐,55,55,-3.87%,OFF,NO,OFF,,Lower Quartile,2,87.5%,39.7,42.9,-0.054,-0.103,Lower-low still forming (price still breaking down),29,69.0%,62.5%,8.41%,2589.35%,HARD_STOP_FROM_ENTRY,43%,Mid,62.5%,53.1%,1.77%,Mid OK
