Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
NEXI.MI,Nexi,stock,Revolut,Euro,WAIT,WAIT,3.10,3.94,3.78,22.2%,Attractive,,21,21,3.37%,OFF,VALID,OFF,,Normal Range,0,55.6%,34.1,51.5,0.004,0.016,,,19,63.2%,66.7%,3.85%,120.91%,HARD_STOP_FROM_ENTRY,280%,Late,66.7%,13.3%,4.30%,Exhausted
NKT.SG,NKT Holding,stock,Revolut,Euro,WAIT,WAIT,109.60,128.27,123.14,12.4%,Moderate,,34,34,0.74%,OFF,VALID,OFF,,Normal Range,2,100.0%,62.0,55.9,-0.157,0.282,,,13,76.9%,66.7%,8.24%,354.23%,RSI_BAND_DROP,633%,Late,66.7%,13.3%,8.24%,Exhausted
NOV.DE,Novo Nordisk B,stock,Revolut,Euro,WAIT,WAIT,30.99,55.19,52.98,71.0%,Attractive,,3,3,1.72%,OFF,NO,OFF,,Lower Quartile,1,69.2%,32.8,32.9,-0.330,0.050,,Strong downtrend (ADX high & rising; -DI dominant),52,67.3%,40.0%,2.32%,2822.22%,TRAILING_STOP,380%,Late,40.0%,8.0%,-2.10%,Exhausted
NVDA,NVIDIA,stock,Revolut,USD,WAIT,WAIT,166.48,223.82,214.87,29.1%,Attractive,,10,10,-0.62%,OFF,NO,OFF,,Lower Quartile,2,72.7%,41.8,35.0,-1.321,-0.530,,Lower-low still forming (price still breaking down),41,85.4%,87.5%,7.76%,102381.02%,TRAILING_STOP,206%,Late,87.5%,17.5%,19.90%,Exhausted
P911.DE,Dr Ing hc F Porsche Prf,stock,Revolut,Euro,WAIT,WAIT,38.02,49.86,47.87,25.9%,Attractive,,3,3,1.01%,OFF,NO,OFF,,Lower Quartile,0,50.0%,38.1,47.0,-0.087,0.107,,,8,25.0%,25.0%,-1.49%,-4.55%,HARD_STOP_FROM_ENTRY,850%,Late,15.0%,3.0%,-2.12%,Exhausted
PIRC.MI,Pirelli & C,stock,Revolut,Euro,WAIT,WAIT,5.90,7.89,7.57,28.4%,Attractive,,25,25,0.20%,OFF,VALID,OFF,,Lower Quartile,2,83.3%,46.5,49.6,-0.011,0.015,,,22,72.7%,72.7%,3.44%,218.75%,TRAILING_STOP,300%,Late,78.2%,15.6%,4.21%,Exhausted
QCOM,Qualcomm,stock,Revolut,USD,WAIT,WAIT,127.84,174.55,167.57,31.1%,Attractive,,42,42,0.57%,OFF,NO,OFF,,Lower Quartile,1,83.3%,31.5,34.3,-0.131,0.077,,,47,80.9%,73.3%,3.68%,5564.59%,TREND_BREAK_MA40_TWO_NEG_SLOPE,68%,Mature,58.7%,38.2%,2.33%,Mid OK
RAT.L,Rathbones,stock,Moneybase,GBP,WAIT,WAIT,19.96,26.89,25.81,29.3%,Attractive,,16,16,-0.45%,OFF,NO,OFF,,Lower Quartile,0,66.7%,43.3,38.6,-11.616,-1.340,,Lower-low still forming (price still breaking down),45,71.1%,62.5%,3.50%,922.29%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,249%,Late,62.5%,12.5%,2.77%,Exhausted
SAN.PA,SAN,stock,Revolut,Euro,WAIT,WAIT,81.90,113.44,108.90,33.0%,Attractive,,21,21,-0.11%,OFF,VALID,OFF,,Extended,0,66.7%,50.2,63.5,0.356,0.228,,Volatility still expanding on down closes (ATR rising),53,75.5%,80.0%,3.44%,1105.51%,TREND_BREAK_MA40_TWO_NEG_SLOPE,109%,Late,64.0%,12.8%,4.34%,Exhausted
SN.L,Smith & Nephew,stock,Moneybase,GBP,WAIT,WAIT,12.01,15.04,14.44,20.3%,Attractive,,21,21,0.63%,OFF,NO,OFF,,Lower Quartile,1,76.9%,39.8,38.6,-6.483,0.346,,,52,75.0%,91.7%,3.98%,1363.07%,RSI_BAND_DROP,211%,Late,91.7%,18.3%,10.24%,Exhausted
