Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Strategy Used,Decision Window,2Y Strategy Return %,2Y Annualised %,Recent Strategy Health,Broken,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
IP.MI,Interpump,stock,Revolut,Euro,WAIT,WAIT,36.50,42.02,40.34,10.5%,Moderate,,16,16,6.17%,OFF,VALID,OFF,,Normal Range,0,65.2%,38.4,56.3,-0.177,0.337,,,49,75.5%,90.0%,6.75%,6881.15%,TRAILING_STOP,S6_TIGHT,2Y,82.2%,35.0%,OK,,389%,Late,90.0%,18.0%,2.35%,Exhausted
MAP.MC,Mapfre,stock,Revolut,Euro,WAIT,WAIT,4.05,4.95,4.75,17.3%,Moderate,,24,24,3.26%,OFF,VALID,OFF,,Extended,1,91.7%,52.1,70.0,0.007,0.018,,,69,73.9%,86.7%,2.40%,2356.43%,HARD_STOP_FROM_ENTRY,S8_DI_GUARD_BUF,2Y,133.8%,52.9%,OK,,411%,Late,86.7%,17.3%,7.10%,Exhausted
MC.PA,MC,stock,Revolut,Euro,WAIT,WAIT,498.85,616.05,591.41,18.6%,Moderate,,20,20,6.85%,OFF,VALID,OFF,,Normal Range,1,76.2%,35.5,56.6,-2.237,3.521,,,43,67.4%,50.0%,4.70%,2328.25%,RSI_BAND_DROP,S4_WIDEATR,2Y,86.3%,36.5%,OK,,493%,Late,50.0%,10.0%,1.05%,Exhausted
MONY.L,Moneysupermarket,stock,Moneybase,GBP,WAIT,WAIT,1.55,2.39,2.29,47.9%,Attractive,,3,3,2.04%,OFF,VALID,OFF,,Lower Quartile,1,69.2%,35.0,46.0,-0.565,0.417,,,50,54.0%,45.5%,1.42%,716.85%,TRAILING_STOP,S1_FAST,2Y,11.5%,5.6%,BROKEN,YES,137%,Late,45.5%,9.1%,-0.68%,Exhausted
MRK.DE,Merck,stock,Revolut,Euro,WAIT,WAIT,107.35,138.46,132.92,23.8%,Attractive,,16,16,-2.23%,OFF,NO,OFF,,Lower Quartile,2,84.6%,42.6,41.7,-0.335,0.161,,,52,76.9%,69.2%,4.47%,3425.71%,HARD_STOP_FROM_ENTRY,S6_TIGHT,2Y,47.2%,21.3%,OK,,140%,Late,69.2%,13.8%,3.21%,Exhausted
MSFT,MICROSOFT,stock,Revolut,USD,WAIT,WAIT,374.33,462.66,444.15,18.7%,Moderate,,19,19,0.55%,OFF,NO,OFF,,Lower Quartile,2,92.3%,33.4,40.9,-0.219,0.775,,,49,79.6%,90.0%,3.59%,4596.18%,RSI_BAND_DROP,S8_DI_GUARD_BUF,2Y,63.7%,27.9%,OK,,109%,Late,90.0%,18.0%,3.17%,Exhausted
MUV2.DE,CTS Eventim AG,stock,Revolut,Euro,WAIT,WAIT,546.40,78.74,75.59,-86.2%,Above Target,,13,13,0.26%,OFF,VALID,OFF,,Normal Range,1,80.0%,52.3,59.3,1.408,0.961,,,62,83.9%,100.0%,5.07%,3816.96%,TRAILING_STOP,S11_VOLATILE_FAST,2Y,68.8%,29.9%,OK,,211%,Late,100.0%,20.0%,4.87%,Exhausted
NKE,Nike,stock,Revolut,USD,WAIT,WAIT,43.13,63.30,60.77,40.9%,Attractive,,16,16,1.03%,OFF,NO,OFF,,Lower Quartile,1,80.0%,23.2,20.6,-0.484,-0.151,,Strong downtrend (ADX high & rising; -DI dominant),40,77.5%,77.8%,5.11%,1258.45%,HARD_STOP_FROM_ENTRY,S12_RECOVERY,2Y,31.4%,14.6%,OK,,112%,Late,62.2%,12.4%,3.17%,Exhausted
NVDA,NVIDIA,stock,Revolut,USD,WAIT,WAIT,182.08,218.70,209.95,15.3%,Moderate,,18,18,2.23%,OFF,NO,OFF,,Lower Quartile,2,100.0%,49.6,54.6,0.307,0.647,,,44,88.6%,87.5%,12.37%,216860.07%,TRAILING_STOP,S8_DI_GUARD,2Y,201.3%,73.6%,OK,,288%,Late,87.5%,17.5%,27.94%,Exhausted
NXT.L,Sage,stock,Moneybase,GBP,WAIT,WAIT,133.15,10.63,10.20,-92.3%,Above Target,,8,8,4.76%,OFF,VALID,OFF,,Normal Range,1,71.4%,49.5,61.6,18.936,60.335,,,56,78.6%,69.2%,4.39%,2689.92%,TRAILING_STOP,S8_DI_GUARD_BUF,2Y,66.8%,29.1%,OK,,129%,Late,81.5%,16.3%,1.06%,Exhausted
OXIG.L,Intertek,stock,Moneybase,GBP,WAIT,WAIT,25.92,51.36,49.31,90.2%,Attractive,,16,16,5.11%,OFF,VALID,OFF,,Normal Range,2,82.6%,56.1,57.2,-4.226,11.735,,,49,77.6%,66.7%,6.57%,9204.89%,TWO_NEG_MACD_SLOPE_IN_HIGH_BAND,S6_TIGHT,2Y,67.0%,29.2%,OK,,331%,Late,60.0%,12.0%,1.71%,Exhausted
PIRC.MI,Pirelli & C,stock,Revolut,Euro,WAIT,WAIT,6.22,8.48,8.14,31.0%,Attractive,,16,16,4.45%,OFF,VALID,OFF,,Upper Quartile,0,60.0%,48.9,62.4,-0.001,0.028,,,26,76.9%,84.6%,4.01%,294.24%,HARD_STOP_FROM_ENTRY,S11_VOLATILE_FAST,2Y,63.6%,27.9%,OK,,236%,Late,87.7%,17.5%,6.07%,Exhausted
